Arbiter,Category,Chief Arbiter,Chief Organizer,City,Country,Crosstable,Date received,Date registered,Deputy Chief Arbiter,End Date,Event code,Hybrid,Number of players,Organizer,PGN file,Start Date,System,Time Control,Tournament Name,Type,Zone,arbiter1_code,arbiter1_name,arbiter2_code,arbiter2_name,arbiter3_code,arbiter3_name,arbiter4_code,arbiter4_name,arbiter5_code,arbiter5_name,arbiter6_code,arbiter6_name,arbiter7_code,arbiter7_name,arbiter8_code,arbiter8_name,arbiter9_code,arbiter9_name,rating_type
,0,"Wu, Xiangyu (Sean) (CAN)","Munir, Zeeshan (CAN)","Calgary, Alberta",CAN,Size: 4895 bytes,2023-06-30,2023-05-19,,2023-05-28,329303,NO,50,,,2023-05-26,s,Standard: 90 minutes with 30 second increment from move 1,2023 Steinitz Menchik Classic Premier,,,,,,,,,,,,,,,,,,,,,Standard
,0,"Kaut, Chris (CAN)","Kaut, Chris (CAN)","Grand Prairie, Alberta",CAN,Size: 3413 bytes,2023-06-30,2023-05-19,,2023-06-04,329305,NO,20,,,2023-06-03,s,Standard: 90 minutes with 30 second increment from move 1,2023 38th Trumpeter Classic,,,,,,,,,,,,,,,,,,,,,Standard
,0,"Wu, Xiangyu (Sean) (CAN)","Munir, Zeeshan (CAN)","Calgary, Alberta",CAN,Size: 4015 bytes,2023-06-30,2023-05-19,,2023-06-27,329310,NO,30,,,2023-05-30,s,Standard: 90 minutes with 30 second increment from move 1,2023 CCC Dale Haessel Open Premier Section,,,,,,,,,,,,,,,,,,,,,Standard
,0,"Wu, Xiangyu (Sean) (CAN)","Munir, Zeeshan (CAN)","Calgary, Alberta",CAN,Size: 3438 bytes,2023-06-30,2023-05-19,,2023-06-27,329312,NO,30,,,2023-05-30,s,Standard: 90 minutes with 30 second increment from move 1,2023 CCC Dale Haessel Open Future Masters Under 1500 Section,,,,,,,,,,,,,,,,,,,,,Standard
,0,"Bond, Hal (CAN)","Oancea, Nicolae (CAN)","Etobicoke, Ontario",CAN,Size: 2846 bytes,2023-06-30,2023-05-30,"Oancea, Nicolae (CAN)",2023-06-17,330444,NO,10,,,2023-06-13,r,Standard: 90 minutes with 30 second increment from move 1,2023 Excelsior June IM Norm,,,,,,,,,,,,,,,,,,,,,Standard
,0,"Shah, Omaray M. (CAN)","Oancea, Nicolae (CAN)","Etobicoke, Ontario",CAN,Size: 2844 bytes,2023-06-30,2023-05-30,"Oancea, Nicolae (CAN)",2023-06-17,330445,NO,10,,,2023-06-13,r,Standard: 90 minutes with 30 second increment from move 1,2023 Excelsior June GM Norm,,,,,,,,,,,,,,,,,,,,,Standard
,0,"Shah, Omaray M. (CAN)","Oancea, Nicolae (CAN)","Etobicoke, Ontario",CAN,Size: 8019 bytes,2023-06-30,2023-05-30,,2023-06-18,330446,NO,100,,,2023-06-18,s,Rapid: 10 minutes for game with 10 seconds increment from move 1,2023 Excelsior June Rapid Championship,,,,,,,,,,,,,,,,,,,,,Rapid
,0,"Shah, Omaray M. (CAN)","Oancea, Nicolae (CAN)","Etobicoke, Ontario",CAN,Size: 4938 bytes,2023-06-30,2023-05-30,,2023-06-25,330447,NO,30,,,2023-06-23,s,Standard: 90 minutes with 30 second increment from move 1,2023 Excelsior June Open Championship Top,,,,,,,,,,,,,,,,,,,,,Standard
,0,"Shah, Omaray M. (CAN)","Oancea, Nicolae (CAN)","Etobicoke, Ontario",CAN,Size: 3653 bytes,2023-06-30,2023-05-30,,2023-06-25,330448,NO,30,,,2023-06-23,s,Standard: 90 minutes with 30 second increment from move 1,2023 Excelsior June Open Championship U2000,,,,,,,,,,,,,,,,,,,,,Standard
,0,"Shah, Omaray M. (CAN)","Oancea, Nicolae (CAN)","Etobicoke, Ontario",CAN,Size: 5510 bytes,2023-06-30,2023-05-30,,2023-06-25,330449,NO,40,,,2023-06-23,s,Standard: 90 minutes with 30 second increment from move 1,2023 Excelsior June Open Championship U1600,,,,,,,,,,,,,,,,,,,,,Standard
,0,"Gillanders, Robert (CAN)","Gooding, Gordon (CAN)",Milton,CAN,Size: 1140 bytes,2023-06-30,2023-05-30,,2023-06-03,330460,NO,10,,,2023-06-03,s,Rapid: 25 minutes for game with 5 seconds increment from move 1,2023 Milton Spring Active,,,,,,,,,,,,,,,,,,,,,Rapid
,0,"Boron, Anthony (CAN)","Boron, Anthony (CAN)",Winnipeg,CAN,Size: 3310 bytes,2023-06-06,2023-05-31,"Rutter, Blair A (CAN)",2023-05-30,330552,NO,21,,,2023-05-02,s,Standard: 90 minutes for game with 10 sec increment from move 1,2023 MCA May TNT,,,,,,,,,,,,,,,,,,,,,Standard
,0,"Macpherson, Al (CAN)","Macpherson, Al (CAN)",Winnipeg,CAN,Size: 5205 bytes,2023-06-29,2023-05-31,"Klokow, John (CAN)",2023-06-10,330553,NO,50,,,2023-06-10,s,Rapid: 20 minutes for game with 10 seconds increment from move 1,2023 MCA St Mary's FIDE June Rapid,,,,,,,,,,,,,,,,,,,,,Rapid
,0,"Macpherson, Al (CAN)","Macpherson, Al (CAN)",Winnipeg,CAN,Size: 4061 bytes,2023-06-29,2023-06-06,"Klokow, John (CAN)",2023-06-10,331010,NO,24,,,2023-06-10,s,Rapid: 20 minutes for game with 10 seconds increment from move 1,2023 MCA St Mary's FIDE June Rapid U1400,,,,,,,,,,,,,,,,,,,,,Rapid
,0,"Arruebarrena Rodriguez, Rafael (VEN)","Arruebarrena Rodriguez, Rafael (VEN)",Edmonton,CAN,Size: 2322 bytes,2023-06-29,2023-06-09,,2023-06-18,331412,NO,25,,,2023-06-16,s,Standard: 90 minutes with 30 second increment from move 1,2023 Edmonton Summer Single section,,,,,,,,,,,,,,,,,,,,,Standard
,0,"Khan, Riley (CAN)","Supsup, Ferdinand (CAN)",Mississauga,CAN,Size: 3732 bytes,2023-06-29,2023-06-14,,2023-06-25,331965,NO,20,,,2023-06-24,s,Standard: 90 minutes for game with 30 seconds delay from move 1,2023 Forcing Moves Spring 3 Open - Division 1,,,,,,,,,,,,,,,,,,,,,Standard
,0,"Khan, Riley (CAN)","Supsup, Ferdinand (CAN)",Mississauga,CAN,Size: 3160 bytes,2023-06-29,2023-06-14,,2023-06-25,331966,NO,20,,,2023-06-24,s,Standard: 90 minutes for game with 30 seconds delay from move 1,2023 Forcing Moves Spring 3 Open - Division 2,,,,,,,,,,,,,,,,,,,,,Standard
,0,"Khan, Riley (CAN)","Supsup, Ferdinand (CAN)",Mississauga,CAN,Size: 2874 bytes,2023-06-29,2023-06-14,,2023-06-25,331968,NO,20,,,2023-06-24,s,Standard: 90 minutes for game with 30 seconds delay from move 1,2023 Forcing Moves Spring 3 Open - Division 3,,,,,,,,,,,,,,,,,,,,,Standard
,0,"Boron, Anthony (CAN)","Boron, Anthony (CAN)",Winnipeg,CAN,Size: 4694 bytes,2023-06-30,2023-06-27,"Rutter, Blair A (CAN)",2023-06-27,333272,NO,33,,,2023-06-06,s,Standard: 90 minutes for game with 10 sec increment from move 1,2023 MCA June TNT,,,,,,,,,,,,,,,,,,,,,Standard
,0,"Gonzales, Joel (CAN)","Gonzales, Joel (CAN)",Saskatoon,CAN,Size: 4747 bytes,2023-06-30,2023-06-28,,2023-06-25,333414,NO,31,,,2023-06-24,s,Standard: 90 minutes with 30 second increment from move 1,2023 Saskatchewan Chess Classic Open,,,,,,,,,,,,,,,,,,,,,Standard
,0,"Gonzales, Joel (CAN)","Gonzales, Joel (CAN)",Saskatoon,CAN,Size: 6035 bytes,2023-06-30,2023-06-28,,2023-06-25,333415,NO,40,,,2023-06-24,s,Standard: 90 minutes with 30 second increment from move 1,2023 Saskatchewan Chess Classic U1600,,,,,,,,,,,,,,,,,,,,,Standard
,0,"Wu, Xiangyu (Sean) (CAN)","Munir, Zeeshan (CAN)",Calgary,CAN,Size: 5505 bytes,2023-06-30,2023-06-29,,2023-05-28,333532,NO,34,,,2023-05-26,s,Standard: 90 minutes with 30 second increment from move 1,2023 Steinitz Menchik Classic U1500,,,,,,,,,,,,,,,,,,,,,Standard
